package_name,data_type,label,hit_rules_count,hit_rules,rule_IG-001,rule_IG-002,rule_IG-003,rule_IG-004,rule_IG-005,rule_IG-006,rule_IG-007,rule_IG-008,rule_IG-009,rule_IG-010,rule_IG-011,rule_DT-001,rule_DT-002,rule_DT-003,rule_DT-004,rule_DT-006,rule_DT-007,rule_DT-008,rule_DT-009,rule_DT-010,rule_DT-011,rule_DT-012,rule_DT-013,rule_IG-013,rule_IG-014,rule_DT-014,rule_DT-016,rule_DT-017,rule_DT-018,rule_DT-020,rule_DT-030,rule_DT-032,rule_IG-012,rule_DE-001,rule_DE-002,rule_DE-003,rule_DE-004,rule_DE-005,rule_DE-006,rule_DE-007,rule_PE-001,rule_PE-002,rule_PE-003,rule_PE-004,rule_PE-005,rule_PE-006,rule_PE-007,rule_PE-008,rule_PE-009,rule_PE-010,rule_PE-011,rule_PE-012,rule_PE-013,rule_PE-014,rule_PE-015,rule_PE-016,rule_SP-001,rule_SP-002,rule_SP-003,rule_SP-004,malicious_node_count,malicious_ratio,category_diversity,IG_ratio,DT_ratio,DE_ratio,PE_ratio,SP_ratio,malicious_internal_edges,malicious_density,malicious_components,mean_degree_centrality_full,max_degree_centrality_full,mean_malicious_pagerank,max_malicious_pagerank,sum_malicious_pagerank,mean_malicious_betweenness,max_malicious_betweenness,mean_degree_centrality_sub,max_degree_centrality_sub,mean_pagerank_sub,max_pagerank_sub,mean_betweenness_sub,max_betweenness_sub,num_malicious_communities,max_community_maliciousness_ratio,malicious_community_entropy
@actions#core-1.10.1,benign,0,4,"DE-001,DE-002,DT-003,IG-001",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.0139017608897126,3,0.5333333333333333,0.2666666666666666,0.2,0.0,0.0,0,0.0,15,0.0012987012987012,0.0027829313543599,0.0012840242158494,0.0017345722168496,0.019260363237741,0.0,0.0,0.0,0.0,0.0666666666666666,0.0666666666666666,0.0,0.0,10,0.1,3.189898095464287
@alifd#next-1.26.24,benign,0,10,"DE-001,DT-003,DT-004,DT-014,IG-001,IG-007,IG-008,PE-002,PE-009,PE-010",1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,47,0.001135128607656,4,0.5957446808510638,0.0851063829787234,0.0638297872340425,0.2553191489361702,0.0,0,0.0,47,5.652655617609152e-05,0.0001449135349241,2.5740419127845587e-05,5.176172101650871e-05,0.0012097996990087,1.6137038372562766e-08,3.500496016202077e-07,0.0,0.0,0.0212765957446808,0.0212765957446808,0.0,0.0,26,0.0555555555555555,4.383960128089257
@ampproject#remapping-2.2.1,benign,0,1,DE-001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0061349693251533,1,0.0,0.0,1.0,0.0,0.0,0,0.0,2,0.0061538461538461,0.0061538461538461,0.0028131233273766,0.0028324136069317,0.0056262466547533,3.095916429249763e-05,3.095916429249763e-05,0.0,0.0,0.5,0.5,0.0,0.0,2,0.0454545454545454,1.0
@angular#animations-16.2.6,benign,0,3,"DT-004,IG-007,PE-002",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0.0039626092257671,3,0.7692307692307693,0.0512820512820512,0.0,0.1794871794871795,0.0,0,0.0,39,0.0001354875859499,0.0003048470683873,0.0001227857983417,0.0001487978666879,0.0047886461353276,0.0,0.0,0.0,0.0,0.0256410256410256,0.0256410256410256,0.0,0.0,12,0.0838709677419354,2.743728722849734
@angular#cdk-16.2.5,benign,0,12,"DE-001,DE-002,DE-005,DT-002,DT-003,DT-004,DT-018,IG-001,IG-007,IG-008,PE-010,PE-015",1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,391,0.0138289594680625,4,0.1227621483375959,0.5856777493606138,0.1457800511508951,0.1457800511508951,0.0,0,0.0,391,9.082074544835668e-05,0.0002829554698829,3.452506163245453e-05,8.013193820758928e-05,0.0134992990982897,5.4856623540302374e-08,1.3421266427225904e-05,0.0,0.0,0.0025575447570332,0.0025575447570332,0.0,0.0,119,0.1538461538461538,6.444786215979431
@angular#cli-16.2.3,benign,0,17,"DE-001,DE-002,DT-001,DT-002,DT-003,DT-004,DT-010,IG-001,IG-003,IG-007,IG-008,IG-009,IG-010,PE-001,PE-002,PE-003,PE-007",1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0.0234986945169712,4,0.457516339869281,0.1568627450980392,0.3202614379084967,0.065359477124183,0.0,0,0.0,153,0.0002218808670421,0.0018433179723502,0.00017006198817,0.0002184894572871,0.0260194841900226,9.431305452345122e-07,4.259442722352639e-05,0.0,0.0,0.0065359477124182,0.0065359477124182,0.0,0.0,44,0.1515151515151515,5.009770963795767
@angular#common-16.2.6,benign,0,9,"DE-001,DE-005,DT-002,DT-003,DT-004,IG-001,IG-008,PE-002,PE-010",1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,105,0.0046113306982872,4,0.2761904761904762,0.4380952380952381,0.219047619047619,0.0666666666666666,0.0,2,0.0001831501831501,103,9.578604158954648e-05,0.0001756774561904,3.774230392263399e-05,6.296644020766529e-05,0.0039629419118765,1.6585231732457815e-08,1.7414493319080704e-06,0.0003663003663003,0.0096153846153846,0.0095238095238095,0.0173362833387323,0.0,0.0,35,0.125,4.620299624487127
@angular#compiler-16.2.6,benign,0,8,"DE-001,DE-002,DE-005,DT-003,IG-007,IG-008,PE-002,PE-015",0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,141,0.0032417519255086,4,0.4397163120567376,0.0212765957446808,0.4539007092198581,0.0851063829787234,0.0,0,0.0,141,3.081863088966056e-05,9.19667080516853e-05,2.4194381528730076e-05,3.35044119865814e-05,0.0034114077955509,2.751678179990588e-07,2.9527398518652293e-05,0.0,0.0,0.0070921985815602,0.0070921985815602,0.0,0.0,52,0.0476190476190476,5.409461395678344
@angular#compiler-cli-16.2.6,benign,0,13,"DE-001,DE-002,DE-005,DT-003,DT-004,IG-001,IG-005,IG-007,IG-008,IG-011,PE-002,PE-007,PE-015",1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,175,0.0085830594928637,4,0.6342857142857142,0.0114285714285714,0.1428571428571428,0.2114285714285714,0.0,0,0.0,175,6.306230555789135e-05,0.0011281145772022,5.612023277091018e-05,7.218987909160292e-05,0.0098210407349092,0.0,0.0,0.0,0.0,0.0057142857142856,0.0057142857142857,0.0,0.0,47,0.3333333333333333,4.678123810673265
@angular#core-16.2.6,benign,0,12,"DE-001,DE-002,DE-005,DT-003,DT-004,DT-014,IG-001,IG-007,IG-008,IG-011,PE-002,PE-015",1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,397,0.003938804667037,4,0.3979848866498741,0.0680100755667506,0.3979848866498741,0.1360201511335012,0.0,6,3.816502557056713e-05,391,1.469484688456882e-05,0.0002281949777261,1.1224317539850593e-05,1.9144805397774912e-05,0.0044560540633206,9.662477027141848e-09,2.7719065518239422e-06,7.633005114113428e-05,0.005050505050505,0.0025188916876574,0.004627591063962,4.8310158950084985e-08,6.393044367727912e-06,118,0.2105263157894736,5.961173006439946
