package_name,data_type,label,hit_rules_count,hit_rules,rule_IG-001,rule_IG-002,rule_IG-003,rule_IG-004,rule_IG-005,rule_IG-006,rule_IG-007,rule_IG-008,rule_IG-009,rule_IG-010,rule_IG-011,rule_DT-001,rule_DT-002,rule_DT-003,rule_DT-004,rule_DT-006,rule_DT-007,rule_DT-008,rule_DT-009,rule_DT-010,rule_DT-011,rule_DT-012,rule_DT-013,rule_IG-013,rule_IG-014,rule_DT-014,rule_DT-016,rule_DT-017,rule_DT-018,rule_DT-020,rule_DT-030,rule_DT-032,rule_IG-012,rule_DE-001,rule_DE-002,rule_DE-003,rule_DE-004,rule_DE-005,rule_DE-006,rule_DE-007,rule_PE-001,rule_PE-002,rule_PE-003,rule_PE-004,rule_PE-005,rule_PE-006,rule_PE-007,rule_PE-008,rule_PE-009,rule_PE-010,rule_PE-011,rule_PE-012,rule_PE-013,rule_PE-014,rule_PE-015,rule_PE-016,rule_SP-001,rule_SP-002,rule_SP-003,rule_SP-004,malicious_node_count,malicious_ratio,category_diversity,IG_ratio,DT_ratio,DE_ratio,PE_ratio,SP_ratio,malicious_internal_edges,malicious_density,malicious_components,mean_degree_centrality_full,max_degree_centrality_full,mean_malicious_pagerank,max_malicious_pagerank,sum_malicious_pagerank,mean_malicious_betweenness,max_malicious_betweenness,mean_degree_centrality_sub,max_degree_centrality_sub,mean_pagerank_sub,max_pagerank_sub,mean_betweenness_sub,max_betweenness_sub,num_malicious_communities,max_community_maliciousness_ratio,malicious_community_entropy
1dex-js-sdk-1.0.15,unknown,-1,3,"DE-001,DE-002,IG-007",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0.02078179119247897,2,0.09523809523809523,0.0,0.9047619047619048,0.0,0.0,0,0.0,42,0.0015794436586515806,0.0019801980198019802,0.0007011036793939854,0.0009310849768558445,0.029446354534547386,7.079141367755965e-07,1.4866196872287525e-05,0.0,0.0,0.02380952380952383,0.023809523809523822,0.0,0.0,40,0.25,5.297079327540667
2x10-webscrape-1.0.0,unknown,-1,1,DT-001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.006666666666666667,1,0.0,1.0,0.0,0.0,0.0,0,0.0,1,0.006711409395973154,0.006711409395973154,0.00916249129501489,0.00916249129501489,0.00916249129501489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.125,-0.0
2x10-webscrape-1.0.1,unknown,-1,1,DT-001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00684931506849315,1,0.0,1.0,0.0,0.0,0.0,0,0.0,1,0.006896551724137931,0.006896551724137931,0.009415387892342465,0.009415387892342465,0.009415387892342465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.1111111111111111,-0.0
2x10-webscrape-1.0.3,unknown,-1,1,DT-001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.006535947712418301,1,0.0,1.0,0.0,0.0,0.0,0,0.0,1,0.006578947368421052,0.006578947368421052,0.008960933487720936,0.008960933487720936,0.008960933487720936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.07692307692307693,-0.0
2x10-webscrape-1.0.4,unknown,-1,1,DT-001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.006756756756756757,1,0.0,1.0,0.0,0.0,0.0,0,0.0,1,0.006802721088435374,0.006802721088435374,0.00928530846883054,0.00928530846883054,0.00928530846883054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.125,-0.0
2x10-webscrape-1.0.5,unknown,-1,1,DT-001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00684931506849315,1,0.0,1.0,0.0,0.0,0.0,0,0.0,1,0.006896551724137931,0.006896551724137931,0.009415387892342465,0.009415387892342465,0.009415387892342465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.1111111111111111,-0.0
2x10-webscrape-1.0.6,unknown,-1,1,DT-001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.006756756756756757,1,0.0,1.0,0.0,0.0,0.0,0,0.0,1,0.006802721088435374,0.006802721088435374,0.00928530846883054,0.00928530846883054,0.00928530846883054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.125,-0.0
2x10-webscrape-1.0.8,unknown,-1,1,DT-001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00684931506849315,1,0.0,1.0,0.0,0.0,0.0,0,0.0,1,0.006896551724137931,0.006896551724137931,0.009415387892342465,0.009415387892342465,0.009415387892342465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.1111111111111111,-0.0
2x10-webscraper-1.0.9,unknown,-1,1,DT-001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00684931506849315,1,0.0,1.0,0.0,0.0,0.0,0,0.0,1,0.006896551724137931,0.006896551724137931,0.009415387892342465,0.009415387892342465,0.009415387892342465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.1111111111111111,-0.0
4fun-ai-review-1.0.3,unknown,-1,4,"DE-001,DE-002,DT-003,PE-007",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.05421686746987952,3,0.0,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.0,0,0.0,9,0.011447811447811446,0.012121212121212121,0.004724173820523554,0.007773933407503308,0.04251756438471199,0.00024538063562453804,0.0012269031781226903,0.0,0.0,0.11111111111111113,0.11111111111111113,0.0,0.0,4,0.4,1.8910611120726526
